QualityIndicatorName,QualityIndicatorId,LocationId,LocationParentId,ParentName,LocationName,OrgNumber,Value,PeriodType,MeasureName,MeasureType,TimeFrom,TimeTo
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1844,1742,Viken,Drammen,30052020,15.789,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1743,388,Norge,Innlandet,342020,7.903,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1744,388,Norge,Vestfold og Telemark,382020,11.264,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1745,388,Norge,Agder,422020,9.877,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1746,388,Norge,Vestland,462020,9.302,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1985,1746,Vestland,Bergen,46012020,4.244,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1738,388,Norge,"Oslo, fylke",32020,9.677,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1843,1742,Viken,Fredrikstad,30042020,11.753,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1751,1739,Rogaland,Stavanger,11032020,20.554,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1740,388,Norge,Møre og Romsdal,152020,14.104,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1749,1738,"Oslo, fylke","Oslo, kommune",3012020,9.677,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1741,388,Norge,Nordland,182020,11.443,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1742,388,Norge,Viken,302020,14.554,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1739,388,Norge,Rogaland,112020,16.27,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,2028,1747,Trøndelag,Trondheim,50012020,6.719,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1748,388,Norge,Troms og Finnmark,542020,5.617,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,388,0,,Norge,9999,11.042,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1747,388,Norge,Trøndelag,502020,7.725,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1738,388,Norge,"Oslo, fylke",32020,6.635,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2018-01-01T00:00:00,2018-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1748,388,Norge,Troms og Finnmark,542020,13.07,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2017-01-01T00:00:00,2017-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,2028,1747,Trøndelag,Trondheim,50012020,5.797,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2017-01-01T00:00:00,2017-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1747,388,Norge,Trøndelag,502020,13.415,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2017-01-01T00:00:00,2017-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1985,1746,Vestland,Bergen,46012020,27.091,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2017-01-01T00:00:00,2017-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1749,1738,"Oslo, fylke","Oslo, kommune",3012020,6.635,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2018-01-01T00:00:00,2018-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1739,388,Norge,Rogaland,112020,16.249,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2018-01-01T00:00:00,2018-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1843,1742,Viken,Fredrikstad,30042020,9.513,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2018-01-01T00:00:00,2018-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1742,388,Norge,Viken,302020,20.609,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2018-01-01T00:00:00,2018-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1741,388,Norge,Nordland,182020,16.454,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2018-01-01T00:00:00,2018-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1740,388,Norge,Møre og Romsdal,152020,20.787,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2018-01-01T00:00:00,2018-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1751,1739,Rogaland,Stavanger,11032020,16.723,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2018-01-01T00:00:00,2018-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1746,388,Norge,Vestland,462020,28.701,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2017-01-01T00:00:00,2017-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1740,388,Norge,Møre og Romsdal,152020,15.996,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2017-01-01T00:00:00,2017-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1751,1739,Rogaland,Stavanger,11032020,69.816,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2017-01-01T00:00:00,2017-12-31T00:00:00
Beboere på sykehjem vurdert av lege siste 12 måneder  ,302,1739,388,Norge,Rogaland,112020,39.664,Årlig,Andel beboere på langtidsopphold i institusjon uten opplysninger om vurdering,%,2017-01-01T00:00:00,2017-12-31T00:00:00
