QualityIndicatorName,QualityIndicatorId,LocationId,LocationParentId,ParentName,LocationName,OrgNumber,Value,PeriodType,MeasureName,MeasureType,TimeFrom,TimeTo
Trombolysebehandling av hjerneinfarkt innen 40 minutter,110,1033,1093,Helse Midt-Norge RHF,Helse Møre og Romsdal HF,997005562,33.8,Årlig,Andel pasienter med hjerneinfarkt som er trombolysebehandlet innen 40 min. etter innleggelse,%,2015-01-01T00:00:00,2015-12-31T00:00:00
Trombolysebehandling av hjerneinfarkt innen 40 minutter,110,1033,1093,Helse Midt-Norge RHF,Helse Møre og Romsdal HF,997005562,49.1,Årlig,Andel pasienter med hjerneinfarkt som er trombolysebehandlet innen 40 min. etter innleggelse,%,2014-01-01T00:00:00,2014-12-31T00:00:00
Trombolysebehandling av hjerneinfarkt innen 40 minutter,110,1033,1093,Helse Midt-Norge RHF,Helse Møre og Romsdal HF,997005562,50.8,Årlig,Andel pasienter med hjerneinfarkt som er trombolysebehandlet innen 40 min. etter innleggelse,%,2016-01-01T00:00:00,2016-12-31T00:00:00
Trombolysebehandling av hjerneinfarkt innen 40 minutter,110,1033,1093,Helse Midt-Norge RHF,Helse Møre og Romsdal HF,997005562,57.9,Årlig,Andel pasienter med hjerneinfarkt som er trombolysebehandlet innen 40 min. etter innleggelse,%,2017-01-01T00:00:00,2017-12-31T00:00:00
Trombolysebehandling av hjerneinfarkt innen 40 minutter,110,1039,1043,Helse Sør-Øst RHF,Oslo universitetssykehus HF,993467049,54.3,Årlig,Andel pasienter med hjerneinfarkt som er trombolysebehandlet innen 40 min. etter innleggelse,%,2015-01-01T00:00:00,2015-12-31T00:00:00
Trombolysebehandling av hjerneinfarkt innen 40 minutter,110,1039,1043,Helse Sør-Øst RHF,Oslo universitetssykehus HF,993467049,60.7,Årlig,Andel pasienter med hjerneinfarkt som er trombolysebehandlet innen 40 min. etter innleggelse,%,2014-01-01T00:00:00,2014-12-31T00:00:00
Trombolysebehandling av hjerneinfarkt innen 40 minutter,110,1039,1043,Helse Sør-Øst RHF,Oslo universitetssykehus HF,993467049,71.4,Årlig,Andel pasienter med hjerneinfarkt som er trombolysebehandlet innen 40 min. etter innleggelse,%,2016-01-01T00:00:00,2016-12-31T00:00:00
Trombolysebehandling av hjerneinfarkt innen 40 minutter,110,1039,1043,Helse Sør-Øst RHF,Oslo universitetssykehus HF,993467049,71.4,Årlig,Andel pasienter med hjerneinfarkt som er trombolysebehandlet innen 40 min. etter innleggelse,%,2017-01-01T00:00:00,2017-12-31T00:00:00
Trombolysebehandling av hjerneinfarkt innen 40 minutter,110,1043,1404,Hele landet,Helse Sør-Øst RHF,991324968,59.3,Årlig,Andel pasienter med hjerneinfarkt som er trombolysebehandlet innen 40 min. etter innleggelse,%,2015-01-01T00:00:00,2015-12-31T00:00:00
Trombolysebehandling av hjerneinfarkt innen 40 minutter,110,1043,1404,Hele landet,Helse Sør-Øst RHF,991324968,59.8,Årlig,Andel pasienter med hjerneinfarkt som er trombolysebehandlet innen 40 min. etter innleggelse,%,2014-01-01T00:00:00,2014-12-31T00:00:00
Trombolysebehandling av hjerneinfarkt innen 40 minutter,110,1043,1404,Hele landet,Helse Sør-Øst RHF,991324968,61.8,Årlig,Andel pasienter med hjerneinfarkt som er trombolysebehandlet innen 40 min. etter innleggelse,%,2016-01-01T00:00:00,2016-12-31T00:00:00
