QualityIndicatorName,QualityIndicatorId,LocationId,LocationParentId,ParentName,LocationName,OrgNumber,Value,PeriodType,MeasureName,MeasureType,TimeFrom,TimeTo
Vellykket gjenopplivning etter hjertestans,116,1408,1093,Helse Midt-Norge RHF,St. Olavs Hospital HF,883974832,19,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-01-01T00:00:00,2018-04-30T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1077,1129,Helse Nord RHF,Helgelandssykehuset HF,983974929,0,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-01-01T00:00:00,2018-04-30T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1086,1094,Helse Vest RHF,Helse Fonna HF,983974694,10,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-01-01T00:00:00,2018-04-30T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1408,1093,Helse Midt-Norge RHF,St. Olavs Hospital HF,883974832,20,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-05-01T00:00:00,2018-08-31T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1084,1094,Helse Vest RHF,Helse Førde HF,983974732,6,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-05-01T00:00:00,2018-08-31T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1085,1094,Helse Vest RHF,Helse Bergen HF,983974724,11,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-05-01T00:00:00,2018-08-31T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1086,1094,Helse Vest RHF,Helse Fonna HF,983974694,12,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-05-01T00:00:00,2018-08-31T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1087,1094,Helse Vest RHF,Helse Stavanger HF,983974678,12,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-05-01T00:00:00,2018-08-31T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1076,1043,Helse Sør-Øst RHF,Sørlandet sykehus HF,983975240,21,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-05-01T00:00:00,2018-08-31T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1075,1043,Helse Sør-Øst RHF,Sykehuset i Vestfold HF,983975259,15,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-05-01T00:00:00,2018-08-31T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1074,1043,Helse Sør-Øst RHF,Sykehuset i Telemark HF,983975267,19,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-05-01T00:00:00,2018-08-31T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1406,1043,Helse Sør-Øst RHF,Vestre Viken HF,894166762,17,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-05-01T00:00:00,2018-08-31T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1090,1043,Helse Sør-Øst RHF,Sykehuset Innlandet HF,983971709,15,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-05-01T00:00:00,2018-08-31T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1039,1043,Helse Sør-Øst RHF,Oslo universitetssykehus HF,993467049,14,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-05-01T00:00:00,2018-08-31T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1089,1043,Helse Sør-Øst RHF,Sykehuset i Østfold HF,983971768,20,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-05-01T00:00:00,2018-08-31T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1043,1404,Hele landet,Helse Sør-Øst RHF,991324968,16,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-05-01T00:00:00,2018-08-31T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1094,1404,Hele landet,Helse Vest RHF,983658725,11,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-05-01T00:00:00,2018-08-31T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1093,1404,Hele landet,Helse Midt-Norge RHF,983658776,19,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-05-01T00:00:00,2018-08-31T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1129,1404,Hele landet,Helse Nord RHF,883658752,15,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-05-01T00:00:00,2018-08-31T00:00:00
Vellykket gjenopplivning etter hjertestans,116,1404,0,,Hele landet,900000000,15,Tertialvis,Antall vellykkede gjenopplivninger etter hjertestans per 100 000 innbyggere,Antall,2018-05-01T00:00:00,2018-08-31T00:00:00
