QualityIndicatorName,QualityIndicatorId,LocationId,LocationParentId,ParentName,LocationName,OrgNumber,Value,PeriodType,MeasureName,MeasureType,TimeFrom,TimeTo
Leger som har deltatt i samtrening,340,3754,3751,Værnesregionen legevakt,Meråker,50342022,0,Årlig,"Andel leger ved legevakten som har deltatt i akuttmedisinsk samtrening med ambulansepersonell siste år (50000=ikke aktuelt, 50001=ubesvart)",%,2021-01-01T00:00:00,2021-12-31T00:00:00
Leger som har deltatt i samtrening,340,3408,3405,Innherred Interkommunale legevakt,Verdal,50382022,0,Årlig,"Andel leger ved legevakten som har deltatt i akuttmedisinsk samtrening med ambulansepersonell siste år (50000=ikke aktuelt, 50001=ubesvart)",%,2021-01-01T00:00:00,2021-12-31T00:00:00
Leger som har deltatt i samtrening,340,3409,3405,Innherred Interkommunale legevakt,Inderøy,50532022,0,Årlig,"Andel leger ved legevakten som har deltatt i akuttmedisinsk samtrening med ambulansepersonell siste år (50000=ikke aktuelt, 50001=ubesvart)",%,2021-01-01T00:00:00,2021-12-31T00:00:00
Leger som har deltatt i samtrening,340,3411,3410,Jessheim interkommunale legevakt,Gjerdrum,30322022,0,Årlig,"Andel leger ved legevakten som har deltatt i akuttmedisinsk samtrening med ambulansepersonell siste år (50000=ikke aktuelt, 50001=ubesvart)",%,2021-01-01T00:00:00,2021-12-31T00:00:00
Leger som har deltatt i samtrening,340,3320,3235,Viken,Follo Legevakt,2223020,0,Årlig,"Andel leger ved legevakten som har deltatt i akuttmedisinsk samtrening med ambulansepersonell siste år (50000=ikke aktuelt, 50001=ubesvart)",%,2021-01-01T00:00:00,2021-12-31T00:00:00
Leger som har deltatt i samtrening,340,3412,3410,Jessheim interkommunale legevakt,Ullensaker,30332022,0,Årlig,"Andel leger ved legevakten som har deltatt i akuttmedisinsk samtrening med ambulansepersonell siste år (50000=ikke aktuelt, 50001=ubesvart)",%,2021-01-01T00:00:00,2021-12-31T00:00:00
Leger som har deltatt i samtrening,340,3413,3410,Jessheim interkommunale legevakt,Nannestad,30362022,0,Årlig,"Andel leger ved legevakten som har deltatt i akuttmedisinsk samtrening med ambulansepersonell siste år (50000=ikke aktuelt, 50001=ubesvart)",%,2021-01-01T00:00:00,2021-12-31T00:00:00
Leger som har deltatt i samtrening,340,3415,3414,Karasjok legevakt,Kárášjohka-Karasjok,54372022,0,Årlig,"Andel leger ved legevakten som har deltatt i akuttmedisinsk samtrening med ambulansepersonell siste år (50000=ikke aktuelt, 50001=ubesvart)",%,2021-01-01T00:00:00,2021-12-31T00:00:00
Leger som har deltatt i samtrening,340,3318,3238,Vestland,Florø legevakt,2224602,87.5,Årlig,"Andel leger ved legevakten som har deltatt i akuttmedisinsk samtrening med ambulansepersonell siste år (50000=ikke aktuelt, 50001=ubesvart)",%,2021-01-01T00:00:00,2021-12-31T00:00:00
Leger som har deltatt i samtrening,340,3417,3416,Karlsøy legevakt,Karlsøy,54232022,40,Årlig,"Andel leger ved legevakten som har deltatt i akuttmedisinsk samtrening med ambulansepersonell siste år (50000=ikke aktuelt, 50001=ubesvart)",%,2021-01-01T00:00:00,2021-12-31T00:00:00
