QualityIndicatorName,QualityIndicatorId,LocationId,LocationParentId,ParentName,LocationName,OrgNumber,Value,PeriodType,MeasureName,MeasureType,TimeFrom,TimeTo
Fristbrudd for pasienter som står på venteliste i TSB,103,1405,1085,Helse Bergen HF,"Helse Bergen, avd. for rusmedisin",896707612,0,Tertialvis,Andel fristbrudd for pasienter som står på venteliste i TSB,%,2018-09-01T00:00:00,2018-12-31T00:00:00
Fristbrudd for pasienter som står på venteliste i TSB,103,1641,1026,"Helse Vest, Privat ",CRUX Verksgata behandlingssenter,915275850,0,Tertialvis,Andel fristbrudd for pasienter som står på venteliste i TSB,%,2018-01-01T00:00:00,2018-04-30T00:00:00
Fristbrudd for pasienter som står på venteliste i TSB,103,1641,1026,"Helse Vest, Privat ",CRUX Verksgata behandlingssenter,915275850,,Tertialvis,Andel fristbrudd for pasienter som står på venteliste i TSB,%,2018-05-01T00:00:00,2018-08-31T00:00:00
Fristbrudd for pasienter som står på venteliste i TSB,103,1641,1026,"Helse Vest, Privat ",CRUX Verksgata behandlingssenter,915275850,0,Tertialvis,Andel fristbrudd for pasienter som står på venteliste i TSB,%,2018-09-01T00:00:00,2018-12-31T00:00:00
Fristbrudd for pasienter som står på venteliste i TSB,103,1583,1022,Private kommersielle,Stiftelsen Bergensklinikkene,960893328,0,Tertialvis,Andel fristbrudd for pasienter som står på venteliste i TSB,%,2018-01-01T00:00:00,2018-04-30T00:00:00
Fristbrudd for pasienter som står på venteliste i TSB,103,1583,1022,Private kommersielle,Stiftelsen Bergensklinikkene,960893328,0,Tertialvis,Andel fristbrudd for pasienter som står på venteliste i TSB,%,2018-05-01T00:00:00,2018-08-31T00:00:00
Fristbrudd for pasienter som står på venteliste i TSB,103,1583,1022,Private kommersielle,Stiftelsen Bergensklinikkene,960893328,5.1,Tertialvis,Andel fristbrudd for pasienter som står på venteliste i TSB,%,2018-09-01T00:00:00,2018-12-31T00:00:00
Fristbrudd for pasienter som står på venteliste i TSB,103,1573,1027,"Helse Sør-Øst, private","Tyrilistiftelsen, Frankmo, Mesnali, Oslo, Sor og Trondheim",961025311,9.1,Tertialvis,Andel fristbrudd for pasienter som står på venteliste i TSB,%,2018-01-01T00:00:00,2018-04-30T00:00:00
Fristbrudd for pasienter som står på venteliste i TSB,103,1408,1093,Helse Midt-Norge RHF,St. Olavs Hospital HF,883974832,0,Tertialvis,Andel fristbrudd for pasienter som står på venteliste i TSB,%,2018-05-01T00:00:00,2018-08-31T00:00:00
Fristbrudd for pasienter som står på venteliste i TSB,103,1408,1093,Helse Midt-Norge RHF,St. Olavs Hospital HF,883974832,4.1,Tertialvis,Andel fristbrudd for pasienter som står på venteliste i TSB,%,2018-09-01T00:00:00,2018-12-31T00:00:00
Fristbrudd for pasienter som står på venteliste i TSB,103,1407,1081,Helse Nord-Trøndelag HF,"Helse Nord-Trøndelag, DPS Stjørdal ",884038162,0,Tertialvis,Andel fristbrudd for pasienter som står på venteliste i TSB,%,2018-01-01T00:00:00,2018-04-30T00:00:00
Fristbrudd for pasienter som står på venteliste i TSB,103,1406,1043,Helse Sør-Øst RHF,Vestre Viken HF,894166762,0,Tertialvis,Andel fristbrudd for pasienter som står på venteliste i TSB,%,2018-01-01T00:00:00,2018-04-30T00:00:00
Fristbrudd for pasienter som står på venteliste i TSB,103,1406,1043,Helse Sør-Øst RHF,Vestre Viken HF,894166762,0,Tertialvis,Andel fristbrudd for pasienter som står på venteliste i TSB,%,2018-05-01T00:00:00,2018-08-31T00:00:00
Fristbrudd for pasienter som står på venteliste i TSB,103,1406,1043,Helse Sør-Øst RHF,Vestre Viken HF,894166762,0,Tertialvis,Andel fristbrudd for pasienter som står på venteliste i TSB,%,2018-09-01T00:00:00,2018-12-31T00:00:00
